# pulse height: 35
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	2
321	2
322	2
323	3
324	4
325	4
326	5
327	6
328	7
329	10
330	12
331	17
332	23
333	35
334	54
335	72
336	94
337	136
338	192
339	242
340	322
341	398
342	478
343	580
344	674
345	751
346	821
347	877
348	905
349	939
350	963
351	966
352	990
353	998
354	1006
355	1014
356	1020
357	1026
358	1030
359	1031
360	1032
361	1032
362	1035
363	1040
364	1057
365	1070
366	1100
367	1165
368	1266
369	1359
370	1601
371	1860
372	2206
373	2813
374	3548
375	4045
376	4634
377	4992
378	5157
379	5133
380	4795
381	4450
382	3906
383	3405
384	2767
385	2643
386	1929
387	2017
388	1409
389	1230
390	1135
391	1150
392	1040
393	1032
394	1013
395	1012
396	1002
397	1000
398	998
399	999
400	997
401	997
402	996
403	996
404	995
405	994
406	992
407	991
408	982
409	982
410	961
411	957
412	918
413	851
414	810
415	779
416	636
417	537
418	442
419	344
420	284
421	209
422	147
423	91
424	56
425	38
426	23
427	12
428	8
429	4
430	3
431	2
432	1
433	1
434	1
435	1
436	1
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
