# pulse height: 100
# THL 	 Mean hits
200	1001
201	1001
202	1001
203	1001
204	1001
205	1001
206	1001
207	1001
208	1001
209	1001
210	1001
211	1001
212	1001
213	1001
214	1001
215	1001
216	1001
217	1001
218	1001
219	1001
220	1001
221	1001
222	1001
223	1001
224	1001
225	1001
226	1001
227	1001
228	1001
229	1001
230	1001
231	1001
232	1001
233	1001
234	1001
235	1001
236	1001
237	1001
238	1001
239	1001
240	1001
241	1001
242	1001
243	1001
244	1001
245	1001
246	1001
247	1001
248	1001
249	1001
250	1001
251	1001
252	1001
253	1001
254	1001
255	1001
256	1001
257	1001
258	1001
259	1001
260	1001
261	1001
262	1001
263	1001
264	1001
265	1001
266	1001
267	1001
268	1001
269	1001
270	1001
271	1001
272	1001
273	1001.01
274	1001
275	1001
276	1001
277	1001.01
278	1001
279	1001
280	1001.05
281	1001.05
282	1001.07
283	1001.2
284	1001.06
285	1001.09
286	1001.36
287	1001.75
288	1002.8
289	1002.71
290	1002.62
291	1003.35
292	1003.64
293	1003.81
294	1003.93
295	1004.21
296	1004.95
297	1004.89
298	1004.91
299	1006.45
300	1005.09
301	1008.32
302	1011.41
303	1031.53
304	1091.42
305	1096.96
306	1099.06
307	1301.34
308	1118.36
309	1758.76
310	1787.96
311	2620.09
312	3658.45
313	3600.88
314	3647.94
315	4544.16
316	3576.78
317	3551.36
318	4992.72
319	4652.37
320	3686.25
321	3711.8
322	3616.07
323	2530.3
324	3552.43
325	1752.3
326	1817.91
327	1322.56
328	1108.79
329	1109.2
330	1109.45
331	1025.93
332	1095.96
333	1110.62
334	1006.54
335	1001.2
336	1000.16
337	1000.18
338	1000.2
339	1000.02
340	1000.16
341	1000
342	1000.01
343	1000
344	1000
345	1000
346	1000
347	1000
348	1000
349	1000
350	1000
351	1000
352	1000
353	1000
354	1000
355	1000
356	1000
357	1000
358	1000
359	1000
360	1000
361	1000
362	1000
363	1000
364	1000
365	1000
366	1000
367	1000
368	1000
369	1000
370	1000
371	1000
372	1000
373	1000
374	1000
375	1000
376	1000
377	1000
378	1000
379	1000
380	1000
381	1000
382	1000
383	1000
384	1000
385	1000
386	1000
387	1000
388	1000
389	1000
390	1000
391	1000
392	1000
393	1000
394	1000
395	1000
396	1000
397	1000
398	1000
399	1000
400	1000
401	1000
402	1000
403	1000
404	1000
405	1000
406	1000
407	1000
408	1000
409	1000
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	1000
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	1000
445	1000
446	1000
447	1000
448	1000
449	1000
450	1000
451	1000
452	1000
453	1000
454	1000
455	1000
456	1000
457	1000
458	1000
459	1000
460	1000
461	1000
462	1000
463	1000
464	1000
465	1000
466	1000
467	1000
468	1000
469	1000
470	1000
471	1000
472	1000
473	1000
474	1000
475	1000
476	1000
477	1000
478	999.996
479	999.949
480	999.766
481	999.777
482	999.863
483	999.066
484	999.797
485	996.863
486	996.812
487	989.637
488	969.969
489	971.535
490	972.969
491	931.285
492	971.422
493	972.363
494	852.996
495	736.074
496	604.906
497	618.426
498	617.566
499	447.426
500	606.203
501	295.777
502	298.57
503	177.672
504	90.8711
505	89.0625
506	88.0234
507	45.1016
508	90.2891
509	90.418
510	16.7852
511	6.02344
512	1.77344
513	1.86719
514	1.80859
515	0.652344
516	1.94922
517	1.98828
518	0.199219
519	0.0664063
520	0.0078125
521	0.0117187
522	0.0117187
523	0
524	0.0078125
525	0.0117187
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
