# pulse height: 20
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1.00391
252	1
253	1
254	1.00391
255	1.00781
256	1.04687
257	1.03906
258	1.03125
259	1.10547
260	1.05078
261	1.16016
262	1.21484
263	1.41406
264	1.49219
265	1.57422
266	1.55469
267	1.76953
268	1.5
269	1.45312
270	2.07031
271	2.39453
272	2.78516
273	2.83203
274	2.91016
275	4.00391
276	2.80469
277	2.87891
278	7.88281
279	18.7031
280	46.3047
281	50.4063
282	52.5195
283	111.684
284	45.8672
285	45.6484
286	218.512
287	380.98
288	549.445
289	551.438
290	565.91
291	742.035
292	795.938
293	866.391
294	876.316
295	944.289
296	987.254
297	984.023
298	983.961
299	1001.77
300	985.285
301	992.418
302	1009.52
303	1019.76
304	1048.29
305	1049.14
306	1050.98
307	1170.22
308	1046.59
309	1486.23
310	1489.33
311	2312.14
312	3556.81
313	3534.77
314	3584.96
315	5111.49
316	3448.84
317	3543.83
318	6098.34
319	5718.84
320	4293.7
321	4245.13
322	4208.83
323	2793.8
324	4368.02
325	1805.41
326	1746.21
327	1234.57
328	1064.98
329	1063.1
330	1066.28
331	1012.34
332	1068.39
333	1064.9
334	1001.91
335	999.707
336	998.367
337	998.07
338	998.035
339	994.242
340	998.297
341	982.691
342	982.762
343	951.945
344	889.852
345	896.465
346	894.551
347	801.336
348	895.063
349	896.676
350	633.672
351	455.922
352	297.34
353	280.09
354	296.273
355	149.266
356	72.0352
357	67.5039
358	64.7812
359	25.7383
360	9.70312
361	9.08203
362	8.96094
363	2.52344
364	10.2695
365	0.667969
366	0.699219
367	0.132813
368	0.0195312
369	0.015625
370	0.0195312
371	0.0078125
372	0.046875
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
